['Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00']
         713805 function calls (694656 primitive calls) in 7.886 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2643    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1743    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
     2655    0.002    0.000    0.002    0.000 __init__.py:205(can_be_empty_element)
     5211    0.002    0.000    0.002    0.000 _parser.py:176(append)
       61    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
  439/421    0.001    0.000    0.027    0.000 typing.py:392(inner)
    204/6    0.001    0.000    0.516    0.086 <frozen importlib._bootstrap_external>:989(exec_module)
     1415    0.001    0.000    0.001    0.000 _connection.py:212(their_state)
     3165    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      540    0.001    0.000    0.002    0.000 enum.py:850(__setattr__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.exec_builtin}
      311    0.001    0.000    0.001    0.000 _receivebuffer.py:67(_extract)
     2756    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1764    0.001    0.000    0.001    0.000 _exceptions.py:7(map_exceptions)
      257    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      306    0.001    0.000    0.002    0.000 _connection.py:352(receive_data)
       95    0.001    0.000    0.002    0.000 enum.py:254(__set_name__)
  231/228    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      386    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      193    0.001    0.000    0.007    0.000 _compiler.py:511(_compile_info)
      306    0.001    0.000    0.001    0.000 _receivebuffer.py:53(__iadd__)
      612    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       80    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      687    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
     2634    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     1030    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      193    0.001    0.000    0.108    0.001 _compiler.py:740(compile)
     3354    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     2655    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     1831    0.001    0.000    0.001    0.000 {method 'isupper' of 'str' objects}
     2837    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      270    0.001    0.000    0.002    0.000 _connection.py:330(_respond_to_state_changes)
      204    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       71    0.001    0.000    0.010    0.000 typing.py:687(Union)
      135    0.001    0.000    0.002    0.000 dataclasses.py:701(_is_type)
      122    0.001    0.000    0.001    0.000 _compiler.py:386(_mk_bitmap)
     2654    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      325    0.001    0.000    0.004    0.000 css_parser.py:1094(selector_iter)
      528    0.001    0.000    0.001    0.000 <string>:2(__eq__)
       17    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     6779    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
       40    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       34    0.001    0.000    0.004    0.000 typing.py:1047(_generic_class_getitem)
     1014    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      213    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
       57    0.001    0.000    0.003    0.000 dataclasses.py:760(_get_field)
       97    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
      213    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
      264    0.001    0.000    0.031    0.000 _decoders.py:95(decode)
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
     3037    0.001    0.000    0.001    0.000 {built-in method builtins.chr}
      260    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap>:416(__enter__)
      612    0.001    0.000    0.001    0.000 _receivebuffer.py:60(__len__)
     2510    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
     1431    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     6006    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
      410    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      120    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      529    0.001    0.000    0.001    0.000 _decoders.py:237(decode)
        1    0.001    0.001    0.020    0.020 _models.py:641(text)
       81    0.001    0.000    0.003    0.000 typing_extensions.py:3029(_collect_parameters)
      130    0.001    0.000    0.002    0.000 enum.py:390(__setitem__)
      265    0.001    0.000    0.647    0.002 _client.py:152(__iter__)
      646    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
  205/199    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
     22/8    0.001    0.000    0.003    0.000 inspect.py:2470(_signature_from_callable)
      193    0.001    0.000    0.065    0.000 _parser.py:969(parse)
      306    0.001    0.000    0.002    0.000 _receivebuffer.py:57(__bool__)
      328    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1287    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      548    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      257    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
     4124    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
      300    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      204    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
      690    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
     3780    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
    52/14    0.001    0.000    0.014    0.001 css_parser.py:911(parse_selectors)
      765    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      816    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       32    0.001    0.000    0.001    0.000 inspect.py:175(get_annotations)
      222    0.001    0.000    0.005    0.000 typing.py:1147(__init__)
     3497    0.001    0.000    0.001    0.000 element.py:2062(descendants)
       39    0.001    0.000    0.002    0.000 typing.py:1096(_generic_init_subclass)
     1287    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1029    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      765    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      270    0.001    0.000    0.001    0.000 _state.py:301(_fire_event_triggered_transitions)
       81    0.001    0.000    0.001    0.000 typing_extensions.py:2954(_has_generic_or_protocol_as_origin)
      205    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:48(_new_module)
       27    0.001    0.000    0.005    0.000 enum.py:528(__new__)
      446    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
      184    0.001    0.000    0.001    0.000 typing.py:1178(__getattr__)
